lat,lon,release_year,genre_ids
37.7879,-122.4075,1959,|8040|4239|9398|9356|2798|
33.8816,-118.2936,1957,|9007|9356|2798|
29.9561,-90.0734,1956,|9356|2474|
34.6977,-79.8834,1957,|9356|
38.2542,-85.7594,1955,|9356|16803|
48.0382,38.4419,1956,|14812|13334|
32.0790,-81.0921,1957,|9356|
40.7357,-74.1724,1955,|9356|13334|18480|
41.6362,-70.9342,1956,|15517|6873|
32.9715,-89.7348,1958,|3623|2703|
40.8079,-73.9455,1956,|9356|2798|8040|
39.7459,-75.5466,1956,|9356|2798|
33.9182,-93.1488,1959,|13334|2703|7722|
38.8909,-90.1843,1958,|13487|11437|13605|9379|8040|9356|2798|17869|
41.5110,-112.0155,1956,|5748|9356|13334|
53.4245,-2.3184,1958,|11758|
40.8791,-91.9485,1956,|13334|
51.8466,12.2312,1953,|11758|3933|
38.7345,-82.9963,1957,|9356|
52.5174,13.3951,1958,|9356|16803|
30.2711,-97.7437,1958,|6706|4287|9062|6873|18902|12341|2703|16439|
39.9527,-75.1635,1958,|9356|18472|16803|
46.9105,-98.7084,1953,|9356|12595|18480|
40.7127,-74.0060,1959,|9356|
35.9861,-78.8984,1957,|14812|13334|
38.8909,-90.1843,1959,|5226|11436|11437|13605|9379|8040|11435|4239|9356|17869|
40.7127,-74.0060,1956,|9356|8040|
37.7879,-122.4075,1953,|9356|
37.7879,-122.4075,1954,|9356|
35.9424,-77.7957,1959,|9356|
42.3316,-83.0466,1957,|9356|
36.1142,-96.6992,1958,|9356|
41.9440,-71.2804,1958,|5748|
42.3617,-74.0861,1959,|18480|18472|
40.7127,-74.0060,1959,|9356|
32.9715,-89.7348,1959,|4993|2703|4299|
33.2096,-87.5675,1959,|5748|9356|13334|18472|
38.7078,-9.1366,1957,|6524|
42.3316,-83.0466,1957,|9356|
40.7580,-73.9855,1950,|11758|16244|
36.1142,-96.6992,1959,|9359|9356|
38.8909,-90.1843,1957,|11306|2350|4239|9356|2798|
32.7532,-97.3327,1959,|1928|9356|7082|
38.8909,-90.1843,1956,|9356|17869|9379|8040|11306|
32.9715,-89.7348,1959,|9356|
40.8079,-73.9455,1959,|9356|2474|16803|
34.6977,-79.8834,1958,|9356|
31.3402,-110.9361,1955,|9356|
38.8909,-90.1843,1955,|9379|8040|11306|9356|17869|4238|
40.8079,-73.9455,1957,|9356|8040|
40.7580,-73.9855,1959,|13334|4087|12341|
35.9424,-77.7957,1956,|2350|4203|9356|
36.9775,-76.4298,1956,|424|6160|12546|18480|9356|16016|
25.7742,-80.1936,1959,|9356|
37.7879,-122.4075,1959,|4239|9356|
40.7127,-74.0060,1958,|2703|4299|13174|
36.1142,-96.6992,1958,|9356|16016|7082|
38.7605,-92.5618,1957,|9356|
33.4146,-82.3126,1958,|9356|
40.7127,-74.0060,1959,|9356|16172|9359|8040|
38.8909,-90.1843,1956,|9379|8040|11306|2350|9356|2798|17869|4238|
40.7127,-74.0060,1955,|4239|9356|2798|17419|
40.6526,-73.9497,1959,|9356|8040|
35.6730,-79.0393,1958,|9356|8040|
35.9424,-77.7957,1958,|9356|2798|
42.3316,-83.0466,1955,|9356|
38.7605,-92.5618,1958,|9356|16803|
47.7981,13.0465,1954,|4146|3933|
41.8756,-87.6244,1956,|9356|2474|16803|
48.8535,2.3484,1958,|4239|9356|8040|
42.6389,-83.2910,1957,|9356|16803|
32.7763,-96.7969,1959,|9356|
48.1371,11.5754,1957,|12661|3933|
41.8756,-87.6244,1956,|4239|9356|
40.6526,-73.9497,1958,|15134|9356|6873|11436|
27.1303,80.8597,1958,|4287|10614|363|366|8798|6873|18902|8336|
32.7532,-97.3327,1959,|9356|7082|
35.1860,-86.1118,1957,|4287|15450|13334|18472|
41.8756,-87.6244,1957,|16172|9356|
38.7605,-92.5618,1959,|9356|16803|
40.7127,-74.0060,1956,|4239|9356|
39.9527,-75.1635,1955,|2350|4239|9356|
40.8079,-73.9455,1957,|9356|
41.8756,-87.6244,1957,|9356|
37.7879,-122.4075,1955,|4239|9356|
40.7127,-74.0060,1955,|18480|9356|
6.4833,2.9167,1959,|4287|6873|18902|9356|1004|17796|
38.8938,-76.9880,1959,|9356|
34.2576,-88.7034,1956,|12973|14814|6151|14853|10818|10619|18208|18197|18586|10552|15025|13243|14450|13334|15077|
40.8079,-73.9455,1958,|9356|
39.9527,-75.1635,1957,|18480|9356|
38.8909,-90.1843,1957,|4126|12973|10697|4239|9356|4238|8991|2474|12683|839|3167|2798|17419|15077|11062|
40.7357,-74.1724,1959,|16439|13273|12341|
35.6630,-95.3928,1954,|9356|
35.9424,-77.7957,1956,|9356|
36.5945,-82.1885,1958,|13334|6873|
35.9424,-77.7957,1954,|2350|9356|8040|
36.1142,-96.6992,1954,|4239|5226|9356|
29.9561,-90.0734,1957,|18480|13146|9379|10784|9356|17869|18472|17695|
41.8756,-87.6244,1959,|9356|8040|
40.4407,-80.0026,1956,|9356|5911|
32.9715,-89.7348,1959,|3623|2703|
33.1632,-96.3604,1957,|9356|
33.2096,-87.5675,1955,|9356|2474|18480|
37.6922,-97.3375,1956,|2474|9356|13833|18472|17695|
37.6922,-97.3375,1953,|9356|
27.1303,80.8597,1958,|8336|
32.3777,-86.3091,1952,|5748|5226|18480|9356|13334|17695|
39.1001,-94.5781,1953,|9356|16803|
29.9561,-90.0734,1958,|5708|12132|16803|9356|18472|7722|18480|9379|5259|17869|17695|
40.8467,-73.8786,1958,|13334|2474|15025|
34.2576,-88.7034,1957,|16297|3789|5714|7722|4307|13487|6160|424|14814|12546|2097|14853|3781|2703|14706|17687|8427|14812|13334|13409|2714|
35.9424,-77.7957,1956,|9356|8040|
33.8601,-92.2947,1958,|4287|4307|14814|15025|9356|17681|4328|
34.8864,-79.6972,1958,|9356|2798|8040|
35.4060,-80.1167,1958,|424|9007|12546|8040|9356|
-12.0109,-77.1116,1955,|5748|6873|6418|10141|9356|13334|
41.8756,-87.6244,1958,|18480|9356|
41.8756,-87.6244,1958,|9356|2703|
33.8816,-118.2936,1959,|9356|
31.3402,-110.9361,1956,|9356|13583|
32.7288,-94.9446,1958,|5748|2474|3781|9356|13334|3907|3789|17695|
39.9527,-75.1635,1957,|14577|15481|16244|3933|
27.1303,80.8597,1956,|8335|8798|8336|
36.1142,-96.6992,1953,|9356|
42.6389,-83.2910,1956,|9356|8040|
32.3777,-86.3091,1952,|9356|13334|18480|
33.5856,-101.8470,1957,|14814|15025|14812|14853|13334|13409|
51.5074,-0.1278,1957,|12661|3933|
39.1001,-94.5781,1956,|4239|9356|
40.8079,-73.9455,1956,|4203|9356|8040|
38.8909,-90.1843,1958,|13807|2474|8040|9356|17419|4238|
40.8079,-73.9455,1956,|5748|10141|3172|13334|4198|11144|14504|
49.5925,15.3033,1954,|3933|
38.6254,-90.1900,1957,|3172|
35.6630,-95.3928,1956,|9356|
36.1995,-83.7419,1959,|4287|14812|12108|
39.7459,-75.5466,1955,|9356|2703|
22.2701,-97.8949,1959,|5748|10141|10160|9356|13334|
35.9424,-77.7957,1957,|9356|8040|
29.9561,-90.0734,1955,|18480|16803|9356|14248|
40.8467,-73.8786,1959,|5748|18480|9356|13334|2922|17695|5711|
40.8079,-73.9455,1958,|9356|2474|
40.7357,-74.1724,1955,|13487|18480|9356|18472|17695|16491|
36.9775,-76.4298,1957,|1430|18480|16803|12661|11758|9356|18472|17695|16491|
39.1001,-94.5781,1959,|9007|9356|
39.1001,-94.5781,1959,|9356|
41.8756,-87.6244,1950,|5226|2474|362|16803|9356|14248|
39.1001,-94.5781,1958,|9356|
40.7127,-74.0060,1956,|9356|
31.3402,-110.9361,1959,|9356|
39.1001,-94.5781,1956,|9356|
47.2455,-122.4383,1954,|2097|
39.7990,-89.6440,1955,|9356|13334|18480|
39.7990,-89.6440,1955,|9356|
39.9527,-75.1635,1955,|4239|9356|
40.7127,-74.0060,1959,|11758|
40.7127,-74.0060,1957,|9356|
36.1142,-96.6992,1956,|9356|
40.7433,-74.0324,1959,|5748|16803|9356|18472|3901|2474|18480|13334|17695|
36.1142,-96.6992,1954,|9356|2798|
40.8079,-73.9455,1957,|9356|8040|
40.6834,-73.9412,1957,|11758|17695|
40.3815,-79.8598,1958,|9356|9415|16803|
39.9527,-75.1635,1957,|9356|8040|16803|
35.1460,-90.0518,1959,|9356|8040|
40.7127,-74.0060,1958,|9356|
31.3402,-110.9361,1959,|9356|2798|13605|8040|
39.8417,-96.6481,1956,|11445|1923|1928|6423|9356|5911|3933|
41.8756,-87.6244,1956,|4239|9356|
39.9527,-75.1635,1956,|9356|2703|18480|16491|
40.8079,-73.9455,1956,|9356|
40.7433,-74.0324,1955,|5748|18480|16803|9356|13334|
36.8494,-76.2900,1959,|15025|14812|14853|
41.8756,-87.6244,1958,|9356|
41.8756,-87.6244,1957,|9356|
31.2578,-95.9785,1959,|2703|
-12.0109,-77.1116,1950,|10835|5748|6873|6418|10141|9356|13334|
33.2589,-86.8295,1959,|4287|2698|15407|7722|
40.8079,-73.9455,1958,|10160|9356|10141|
41.9440,-71.2804,1959,|3781|9356|13334|3789|
40.7357,-74.1724,1959,|3781|3789|
35.9424,-77.7957,1956,|9356|
23.0469,-81.5783,1955,|10835|10141|10160|994|9356|2760|
53.8093,-2.7184,1957,|15517|6873|
34.8864,-79.6972,1958,|424|9007|12546|8040|9356|
40.7357,-74.1724,1958,|9356|13334|12595|5711|
39.9448,-75.1199,1958,|5748|9356|2474|
27.9450,-82.4583,1958,|9356|
30.2711,-97.7437,1958,|6873|
43.1525,-93.2018,1958,|11758|16244|
38.6254,-90.1900,1959,|2439|14814|14812|14706|14853|
40.8079,-73.9455,1956,|9356|8040|
40.1149,-75.3434,1959,|9356|8040|
34.2576,-88.7034,1956,|13487|5712|14812|15025|14853|5714|
33.2096,-87.5675,1954,|18480|9356|
46.0711,20.6241,1958,|3933|
36.9775,-76.4298,1958,|9356|
33.2096,-87.5675,1956,|9356|2703|18480|
-23.5507,-46.6334,1958,|6873|10141|3933|
