release_mbid,artist_name,release_name,release_year,release_genres
06bbc478-bc30-33e3-a62b-10ecb15fedc9,Arthur Collins,Three Minutes With the Minstrels,1899,comedy; non-music; jazz; ragtime
1187b9cd-d1a3-3781-a5fd-e5f8f9f6e8da,Vess L. Ossman,Whistling Rufus,1899,jazz; ragtime
9683724b-10e9-3d76-ae62-a7fb8395f77a,Arthur Collins,All Coons Look Alike to Me,1899,jazz; ragtime
81e5cf8f-ec0b-39c3-a30e-0e088fd38eb3,Vess L. Ossman,Darkies Patrol,1897,jazz; ragtime
c8854824-229c-470a-8aee-dc0391a720e8,Billy Golden,Turkey in the Straw,1891,pop
292136fb-ebea-40a7-a0ce-0427fad011df,Vess L. Ossman,Hotfoot Sue,1898,jazz; ragtime
d27a50ae-c95f-4f2c-93a3-4013430866ee,Vess L. Ossman,Happy Days In Dixie,1897,jazz; ragtime
97ac2554-0252-4f33-9d62-e296f3daeca8,Vess L. Ossman,Rag Time Medley,1897,jazz; ragtime
