lat,lon,release_year,genre_ids
29.4246,-98.4951,1934,|11758|13334|
41.8240,-71.4128,1939,|9356|13334|4087|
51.5394,0.0526,1939,|13334|5911|
39.1001,-94.5781,1937,|9356|2474|16803|
39.1001,-94.5781,1937,|9356|2474|
39.1001,-94.5781,1937,|9356|2474|
52.1315,11.6401,1933,|3933|
39.1001,-94.5781,1937,|9356|2474|
39.1001,-94.5781,1938,|9356|2474|16803|
-33.0245,-71.5518,1938,|13334|
-33.0245,-71.5518,1938,|13334|
52.4761,-71.8259,1932,|13334|
40.8467,-73.8786,1930,|13334|
48.8388,2.4917,1939,|13334|
47.2455,-122.4383,1934,|13334|
51.5074,-0.1278,1937,|9356|13334|2474|
40.7961,-89.1973,1934,|9356|13334|
52.0800,4.3113,1938,|15450|13334|
52.0800,4.3113,1939,|15450|13334|
33.7724,-89.7675,1935,|13141|2703|
32.9715,-89.7348,1930,|4993|2703|4299|
48.8535,2.3484,1932,|13334|10141|17004|
48.8535,2.3484,1930,|13334|
48.8535,2.3484,1930,|3478|13334|
41.9264,8.7376,1935,|13334|
39.1001,-94.5781,1938,|9356|2474|16803|
41.8756,-87.6244,1931,|2703|
35.0035,-91.2502,1938,|2703|
31.5782,-84.1557,1939,|2785|9356|2703|
59.3949,18.6660,1939,|15450|13334|
40.8079,-73.9455,1938,|9356|2474|
36.6723,-82.4026,1930,|4287|
36.6723,-82.4026,1930,|4287|
36.6723,-82.4026,1930,|4287|
38.6254,-90.1900,1934,|2703|
30.6902,-92.2775,1930,|3145|
59.3809,13.5028,1939,|13334|
59.3809,13.5028,1931,|15450|13334|
59.3809,13.5028,1931,|15450|13334|
59.3809,13.5028,1933,|15450|13334|
59.3809,13.5028,1938,|15450|13334|
59.3809,13.5028,1936,|15450|13334|
59.3809,13.5028,1939,|15450|13334|
59.3809,13.5028,1937,|15450|13334|
59.3809,13.5028,1939,|13334|2097|
59.3809,13.5028,1937,|11758|
59.3809,13.5028,1933,|15450|13334|
59.3809,13.5028,1938,|15450|9356|13334|
59.3809,13.5028,1937,|15450|13334|
59.3809,13.5028,1938,|15450|13334|
59.3809,13.5028,1933,|15450|13334|
59.3809,13.5028,1937,|3478|15450|13334|
59.3809,13.5028,1938,|3478|15450|13334|
59.3809,13.5028,1938,|13334|
59.3809,13.5028,1939,|13334|
59.3809,13.5028,1939,|15450|13334|2097|
59.3809,13.5028,1938,|15450|13334|
59.3809,13.5028,1938,|13334|
59.3809,13.5028,1937,|13334|
59.3809,13.5028,1932,|15450|13334|
59.3809,13.5028,1931,|15450|13334|
59.3809,13.5028,1935,|13334|
59.3809,13.5028,1938,|15450|13334|
59.3809,13.5028,1937,|10141|15450|9356|13334|
59.3809,13.5028,1939,|15450|13334|
59.3809,13.5028,1936,|15450|13334|
59.3809,13.5028,1938,|15450|13334|
59.3809,13.5028,1932,|15450|13334|
59.3809,13.5028,1933,|15450|13334|
59.3809,13.5028,1937,|13334|
59.3809,13.5028,1938,|13334|
59.3809,13.5028,1934,|15450|13334|
59.3809,13.5028,1937,|3478|13334|
59.3809,13.5028,1931,|15450|13334|
59.3809,13.5028,1939,|3478|13334|
59.3809,13.5028,1938,|15450|13334|
59.3809,13.5028,1939,|15450|13334|
59.3809,13.5028,1936,|13334|
59.3809,13.5028,1937,|15450|13334|
59.3809,13.5028,1932,|13334|
59.3809,13.5028,1931,|15450|13334|
59.3809,13.5028,1935,|15450|13334|
59.3809,13.5028,1936,|15450|13334|
43.2962,5.3700,1937,|13334|3933|
42.3588,-71.0578,1934,|3384|
33.9870,-88.4856,1931,|2703|
48.8535,2.3484,1936,|13334|
40.8079,-73.9455,1930,|9356|
38.6254,-90.1900,1932,|13334|
39.1001,-94.5781,1937,|9356|16803|
51.5074,-0.1278,1938,|9356|2474|
35.4094,-80.5800,1935,|4287|
38.6254,-90.1900,1936,|9356|
38.6254,-90.1900,1932,|9356|
38.6254,-90.1900,1936,|9356|
38.6254,-90.1900,1936,|9356|16803|
38.6254,-90.1900,1936,|9356|
38.6254,-90.1900,1935,|9356|
38.6254,-90.1900,1936,|9356|
38.6254,-90.1900,1931,|9356|
38.6254,-90.1900,1935,|13334|
38.6254,-90.1900,1931,|9356|
38.6254,-90.1900,1930,|9356|
38.6254,-90.1900,1935,|9356|16803|
49.4893,8.4673,1930,|15450|13334|
47.2455,-122.4383,1939,|13334|
33.7545,-84.3898,1939,|13334|
47.2455,-122.4383,1932,|13334|
-33.8975,-60.5750,1936,|6873|
-33.8975,-60.5750,1936,|6873|
48.3905,-4.4860,1933,|13334|
48.3905,-4.4860,1937,|13334|
51.1638,10.4478,1935,|5748|9356|
45.1860,9.1546,1936,|12661|3933|
52.0800,4.3113,1931,|13334|4087|12341|
52.0800,4.3113,1931,|13334|3933|
52.0800,4.3113,1934,|13334|
52.0800,4.3113,1935,|13334|
52.0800,4.3113,1930,|13334|
52.0800,4.3113,1939,|13334|
29.9561,-90.0734,1936,|9356|
47.2455,-122.4383,1936,|13334|
29.9561,-90.0734,1937,|9356|13334|
41.9264,8.7376,1933,|13334|
29.9561,-90.0734,1938,|9356|
29.9561,-90.0734,1938,|9356|2474|
44.1132,9.9600,1937,|13334|10141|17004|
44.1132,9.9600,1939,|13334|
44.1132,9.9600,1936,|9356|13334|
44.1132,9.9600,1938,|13334|
44.1132,9.9600,1939,|13334|
