release_mbid,artist_name,release_name,release_year,release_genres
10fb3238-07c6-30da-80f9-516d33dce786,Frank Sinatra,Christmas Songs by Sinatra,1948,easy listening; 1–4 wochen; english; offizielle charts; vocal jazz; christmas; jazz; pop; christmas music
7edf9c62-a37a-35a7-a908-ef674678454b,Bing Crosby,Blue Skies,1946,pop
e4c64658-e48a-3db8-b2ec-797024daa317,Woody Guthrie,Nursery Days,1946,folk
4d97dcf0-b59e-3515-9bf7-df988e99c758,Woody Guthrie,Struggle,1945,folk
a82c4b78-9e9a-390c-af1f-3c8a8a44c555,Bing Crosby,Merry Christmas,1945,1–4 wochen; discogs/the most popular album released every year from 1950 to 2020; english; offizielle charts; vocal jazz; pop christmas; christmas music; pop; traditional pop
64350a66-c779-3549-b292-7d0a8e18fdae,Richard Rodgers,South Pacific,1949,musical; classical
df936d57-468d-3ba7-b437-f7b557241635,Woody Guthrie,Dust Bowl Ballads,1940,1940; folk; dust bowl ballads; victor; ballad
a96547c2-9683-3c9e-b1b8-a3c59434389d,Miklós Rózsa,Spellbound,1945,classical
6c342abc-7c6f-3fc0-a0e0-16ca5d28dfa0,Irving Berlin,Easter Parade,1948,musical; classical
24850d52-0240-3b82-b88e-86d90538f2eb,Bing Crosby,Song Hits From the Paramount Picture Holiday Inn,1942,miscellaneous; pop
92f0ecf3-83f5-36c2-a9a1-57ae37e8be69,Rosemary Clooney,The Essential Rosemary Clooney,1948,easy listening; big band; latin jazz; jazz
9d43fb9b-715f-3575-994b-669f9956ec23,Harry Revel,Music Out of the Moon,1947,lounge
e84c4788-716f-3023-9e9e-dde9b7ab5c37,Louis Armstrong,Marie / Sleepy Time Gal,1940,jazz; pop
1800f317-a1a5-3b63-8e28-55fef0f52d4b,Bukka White,Black Train Blues / Fixin' to Die Blues,1940,blues
20fa201d-1996-3296-a1ff-5c1aa9ca7886,Merle Travis,Folk Songs of the Hills,1947,country; folk
f544fa9c-b946-3082-90c5-2c978befcde9,Sister Rosetta Tharpe,"Up Above My Head, I Hear Music in the Air / My Journey to the Sky",1948,jazz; blues; gospel
71664f22-d383-3666-b7ca-eb392fbf0a62,Frankie Laine,That Lucky Old Sun,1949,pop
e5195740-b0cb-3e92-8a58-ea30e7e371c0,The Nat King Cole Trio,(Get Your Kicks on) Route 66 / Everyone Is Saying Hello Again (Why Must We Say Goodbye?),1946,r&b; jazz; pop
1e959108-c8be-39f5-a3f6-beddc9b5a2d1,Roy Rogers,Home in Oklahoma / A Gay Ranchero,1949,country
ff57013f-cd5c-3899-934a-f6d4cd3f1929,Burl Ives,Riders in the Sky,1949,country
681771cd-89f1-3ce0-b245-3c8a94dfdeb4,Frank Sinatra,I Believe / Time After Time,1947,jazz; pop; ballad
ae73bb66-6c4f-3bea-80f0-bc8226f9fbb3,Hank Snow,I Wonder Where You Are Tonight / The Drunkard's Son,1949,classic country
0d88dab8-9c94-309e-908b-b2f04048b3f1,Frank Sinatra,Five Minutes More / How Cute Can You Be?,1946,jazz; pop
965d0036-f9b3-3332-a3e3-95aaded8c269,Jo Stafford,Symphony / Day by Day,1945,pop
300e2c75-86f7-355a-8d9b-bb7ec88dbbce,Ella Fitzgerald,It’s Only a Paper Moon / Cry You Out of My Heart,1945,blues
3b29423d-838a-3eaa-872e-1ce561ded208,Judy Garland,Meet Me in St. Louis,1944,jazz; big band
5e7130ec-3e7a-3407-bc1e-821fd6d3ddf9,Frank Sinatra,Frankly Sentimental,1949,swing; jazz; pop; traditional pop
35fb03e4-2344-3c48-aa93-ea80e9870d8a,Frank Sinatra,Songs by Sinatra,1947,jazz; pop; traditional pop
48f05fdb-0a7b-3c7f-b62d-78923d167da7,Frank Sinatra,The Voice of Frank Sinatra,1946,jazz; pop; traditional pop
be2b1faa-e2c7-3084-8e0d-3479e8cb8114,Frank Sinatra,Ol' Man River / Stormy Weather,1945,musical; jazz; pop
068165ed-23d5-34c6-a86b-2b9bb0d701f8,Richard Rodgers,Carousel,1945,musical
41242c0a-ba27-3ee8-b142-a6d9b3697e79,Johnnie Johnston,Windmill Under the Stars / Conchita Lopez,1942,jazz
b47d0a2a-73fc-3bee-9e31-0a00f6ddf059,Leroy Anderson,Sleigh Ride / Serenata,1949,instrumental; pop; classical
