lat,lon,release_year,genre_ids
51.5074,-0.1278,1968,|13963|2964|13806|2703|1094|3913|13848|13487|1720|14812|6453|8388|13944|16335|
39.9527,-75.1635,1961,|1928|17593|13605|4239|9356|17419|
51.5074,-0.1278,1969,|8049|2720|13487|2946|14812|7910|4208|9479|14532|1094|2714|
32.7174,-117.1628,1968,|1418|13963|13806|13961|12599|3913|9280|8049|14812|6423|5911|827|8222|
51.5074,-0.1278,1969,|7017|586|2703|8214|1094|3913|1465|8049|8063|2946|14812|379|6898|2959|1671|2714|
53.4954,-2.9739,1969,|1737|11035|3258|14707|560|586|10619|9356|13961|11068|4619|11169|18197|2558|11062|18586|5766|13837|15077|13963|13950|10697|3913|15590|16686|1239|1720|14812|1379|8389|13334|8025|1717|13409|
51.5074,-0.1278,1967,|14707|9356|13961|1094|3933|16335|6453|424|13963|12546|2964|13806|3913|13392|13848|1720|14812|1379|5911|13334|13944|
27.9450,-82.4583,1961,|9356|16172|8040|
34.4077,-84.1357,1967,|2703|16154|16174|16154|14706|4955|
33.9950,-118.4669,1969,|12973|13963|13950|12309|10697|14814|1094|3913|2233|8049|1720|14812|13264|13243|14891|2714|
33.9950,-118.4669,1967,|13963|13950|12309|15652|1094|3913|5528|4730|14812|1294|13264|13334|827|2714|
40.0797,-89.4337,1964,|6873|9356|13334|3789|16244|3933|
29.9561,-90.0734,1968,|18480|16803|751|9356|9387|17695|
33.9950,-118.4669,1967,|13963|13950|2703|13918|1094|11051|11836|3913|8049|4467|13487|14812|1142|13264|828|827|2714|
53.4954,-2.9739,1967,|2957|4141|1352|13961|11068|18197|14128|2233|5528|16707|18586|13243|5766|12674|11738|16744|13963|13950|10697|2337|13806|3913|16686|1720|14812|13334|13409|
33.6157,-81.1020,1965,|5748|2474|9356|13334|2703|
51.4708,-0.1722,1960,|9356|
42.8864,-78.8781,1969,|6706|12341|
51.5074,-0.1278,1969,|586|2703|8214|1094|3913|8049|14812|1671|2714|
37.9154,-122.3014,1969,|14814|4321|16305|14853|15113|1613|1094|3913|8049|16769|14812|2714|
-27.2269,153.1130,1969,|2233|13963|14812|1352|13334|18472|13961|13409|
46.7838,-92.1053,1965,|4198|3913|13910|6873|14812|3902|839|6898|13334|15839|2714|
51.5074,-0.1278,1967,|8049|13963|2720|14938|14812|3913|2714|
52.5174,13.3951,1968,|13334|
52.5174,13.3951,1967,|13334|2097|
51.5074,-0.1278,1969,|12973|6151|14408|4299|15652|10818|8628|2703|14712|1094|11068|8239|3913|2558|8049|18586|14812|13243|14450|2714|
32.9715,-89.7348,1961,|4993|2703|4299|
37.8708,-122.2729,1967,|13963|13334|14812|
50.9747,10.3194,1968,|11445|683|5911|5921|11475|
46.7838,-92.1053,1967,|4321|15760|14706|6911|14899|6873|14812|13334|6898|2714|
51.5074,-0.1278,1968,|8049|14812|14853|15113|2703|1094|3913|2714|
51.5196,-0.1520,1968,|6898|14812|3933|
46.7838,-92.1053,1962,|4287|5226|6873|18902|6898|6911|
46.7838,-92.1053,1969,|6873|14938|14812|4321|15760|6898|
53.4954,-2.9739,1967,|1737|13963|586|16244|2329|1352|13961|3913|11169|1720|14812|13334|1717|13409|
34.0537,-118.2428,1960,|16169|16306|18480|14153|2703|16154|14706|3911|
42.4606,-83.1346,1961,|9356|
37.7879,-122.4075,1969,|13963|
33.9598,-83.3764,1969,|6873|14812|3933|
51.5173,-0.2111,1968,|13963|827|14812|
40.8079,-73.9455,1969,|10835|12834|10141|10160|9356|
34.0537,-118.2428,1969,|16154|
34.0537,-118.2428,1967,|6898|12599|14812|
37.9154,-122.3014,1968,|13963|14814|4321|16305|14853|15113|3913|8049|16769|14812|14891|13334|2714|
40.7127,-74.0060,1968,|9392|9356|14812|9419|
37.7879,-122.4075,1969,|13963|13950|6151|14408|10818|6645|10619|11068|6911|16686|8049|18586|14812|4208|827|
53.3494,-6.2606,1969,|6873|
51.8911,-0.4230,1969,|2953|15760|2703|12599|3913|8049|13848|1720|14812|6898|2714|
40.7357,-74.1724,1961,|16172|18480|9356|13334|
31.5782,-84.1557,1961,|16154|9356|
32.9715,-89.7348,1968,|2703|
51.4708,-0.1722,1969,|9356|
38.8909,-90.1843,1960,|11435|4239|4203|9356|13583|4238|5226|11436|9379|17869|17419|
51.5074,-0.1278,1969,|14812|
51.5074,-0.1278,1966,|11430|14812|
37.7879,-122.4075,1969,|13963|9283|14812|14938|10167|10141|13334|9419|2714|
51.5074,-0.1278,1966,|13963|13950|14938|5849|1094|3913|916|8049|14812|3902|2714|
51.8911,-0.4230,1968,|8049|13848|14812|6898|3913|2714|
45.4372,12.3346,1965,|2229|3933|
33.4510,-90.6551,1967,|3781|2703|5849|
