lat,lon,release_year,genre_ids
32.8407,-83.6324,1922,|9356|2703|
55.3564,22.4052,1922,|13334|
41.5236,-90.5771,1928,|9356|13334|
45.5202,-122.6742,1926,|9356|13334|
31.3616,-96.1441,1928,|2703|
31.3616,-96.1441,1927,|17182|2703|
33.6248,-97.1428,1928,|9356|
31.3616,-96.1441,1929,|4299|2703|
31.3616,-96.1441,1928,|17182|2703|
35.1460,-90.0518,1925,|9356|
29.9561,-90.0734,1928,|9356|2703|
36.1623,-86.7743,1928,|2703|
40.7127,-74.0060,1929,|9356|
37.7275,-89.2167,1927,|9356|5259|2703|
52.0800,4.3113,1920,|15450|13334|
52.0800,4.3113,1921,|13334|
33.6625,-85.8283,1928,|2703|
39.9527,-75.1635,1923,|4087|12341|
57.0525,53.9906,1926,|3933|
30.1669,-96.3977,1928,|2703|
40.7127,-74.0060,1924,|11758|13334|4087|
40.7127,-74.0060,1924,|13334|4087|
53.3494,-6.2606,1928,|8991|3933|
48.8535,2.3484,1923,|3933|
54.1365,10.6159,1925,|3933|
29.9561,-90.0734,1923,|9356|2703|
38.2542,-85.7594,1928,|2703|
32.9715,-89.7348,1929,|4993|2703|
30.1669,-96.3977,1928,|2703|
31.8088,-85.9700,1929,|2785|2703|13141|
33.6874,-80.4364,1925,|9356|
33.7321,-84.9191,1929,|17182|2703|
31.9004,-84.2519,1929,|2703|
31.2639,-98.5456,1928,|4299|2703|
32.5838,-95.1088,1929,|17182|2703|
29.9561,-90.0734,1924,|2703|
29.9561,-90.0734,1925,|2703|
29.9561,-90.0734,1925,|2703|
29.9561,-90.0734,1925,|2703|
29.9561,-90.0734,1925,|2703|
29.9561,-90.0734,1924,|2703|
29.9561,-90.0734,1925,|2703|
29.9561,-90.0734,1925,|2703|
29.9561,-90.0734,1926,|2703|
29.9561,-90.0734,1929,|2703|
29.9561,-90.0734,1929,|2703|
31.2639,-98.5456,1927,|2703|17182|4299|
33.7545,-84.3898,1925,|9356|2703|
33.7545,-84.3898,1922,|2703|
33.7545,-84.3898,1924,|2703|
33.7545,-84.3898,1922,|2703|
33.7545,-84.3898,1922,|18333|2703|
33.7545,-84.3898,1923,|2703|
39.9829,-75.7652,1922,|9356|
33.7545,-84.3898,1922,|2703|
35.1460,-90.0518,1922,|2703|
33.7545,-84.3898,1922,|2703|
39.9829,-75.7652,1922,|9356|2703|
40.7127,-74.0060,1920,|9356|13334|
29.9561,-90.0734,1920,|13334|
40.7127,-74.0060,1920,|13334|
41.8756,-87.6244,1920,|9356|13334|
29.9561,-90.0734,1920,|13334|
41.8756,-87.6244,1923,|13334|
29.9561,-90.0734,1920,|9356|13334|
41.8756,-87.6244,1927,|9356|
31.2639,-98.5456,1927,|2703|17182|4299|
31.2639,-98.5456,1927,|2703|17182|4299|
31.2639,-98.5456,1927,|2703|17182|4299|
31.2639,-98.5456,1926,|2703|17182|4299|
31.2639,-98.5456,1926,|4299|2703|
31.2639,-98.5456,1927,|2703|17182|4299|
32.7884,-79.9399,1926,|2703|
31.2639,-98.5456,1927,|17182|2703|
31.2639,-98.5456,1927,|2703|17182|4299|
31.2639,-98.5456,1926,|4299|2703|
31.2639,-98.5456,1928,|2703|17182|4299|
40.7127,-74.0060,1921,|13334|
41.8756,-87.6244,1921,|9356|
40.8079,-73.9455,1927,|9356|
29.9561,-90.0734,1927,|9356|
29.9561,-90.0734,1928,|9356|
29.9561,-90.0734,1926,|9356|
29.9561,-90.0734,1927,|9356|
29.9561,-90.0734,1926,|9356|
31.2639,-98.5456,1927,|7722|2703|
29.9561,-90.0734,1921,|13334|
40.7127,-74.0060,1922,|13334|
29.9561,-90.0734,1921,|9356|13334|
29.9561,-90.0734,1922,|9356|13334|2703|
52.2584,20.3109,1921,|3933|
55.3564,22.4052,1924,|9356|
55.3564,22.4052,1924,|13334|
55.3564,22.4052,1924,|13334|
55.3564,22.4052,1924,|13334|
55.3564,22.4052,1924,|9356|13334|4087|
29.9561,-90.0734,1926,|9356|
34.0537,-118.2428,1927,|2703|
37.5726,-85.1551,1927,|9356|2703|
41.4997,-81.6937,1928,|13334|2703|
32.5838,-95.1088,1928,|2703|17182|4299|
52.2435,5.6343,1929,|15450|13334|
45.5202,-122.6742,1926,|5748|9356|
35.0457,-85.3095,1925,|9356|2703|
34.9551,-97.2684,1928,|4287|
38.6254,-90.1900,1929,|2703|
50.4500,30.5241,1928,|3933|
29.9561,-90.0734,1929,|9356|
29.9561,-90.0734,1929,|9356|
55.3564,22.4052,1921,|13334|
33.6248,-97.1428,1925,|9356|13334|
33.6248,-97.1428,1927,|13334|
33.6248,-97.1428,1929,|9356|13334|
33.6248,-97.1428,1928,|13334|
48.2251,16.3584,1927,|3933|
40.6526,-73.9497,1924,|9356|13334|
36.2452,-101.8859,1929,|7722|2703|
36.2452,-101.8859,1926,|7722|2703|
36.2452,-101.8859,1926,|7722|2703|
39.1015,-84.5125,1920,|2703|
52.0800,4.3113,1929,|13334|
33.1732,-84.9149,1927,|7722|2703|
33.1732,-84.9149,1927,|12341|
33.1732,-84.9149,1927,|12341|
32.4611,-84.9880,1926,|2703|
40.7127,-74.0060,1924,|9356|5259|
48.8535,2.3484,1925,|3933|
39.1015,-84.5125,1923,|9356|13334|
35.9604,-83.9210,1928,|4287|
40.8164,-74.2211,1922,|13334|
39.1001,-94.5781,1927,|9356|2474|
39.1001,-94.5781,1928,|9356|
39.1001,-94.5781,1926,|9356|
39.1001,-94.5781,1927,|9356|13334|
39.1001,-94.5781,1928,|9356|13334|2474|
39.1001,-94.5781,1928,|9356|
39.1001,-94.5781,1928,|9356|
39.1001,-94.5781,1928,|9356|
39.1001,-94.5781,1928,|9356|
39.1001,-94.5781,1928,|9356|13334|
39.1001,-94.5781,1929,|9356|13334|
39.1001,-94.5781,1928,|9356|
39.1001,-94.5781,1929,|9356|13334|
39.1001,-94.5781,1929,|9356|
39.1001,-94.5781,1929,|9356|13334|
39.1001,-94.5781,1928,|9356|2474|
36.1034,-84.1319,1928,|4287|
29.8348,-94.1704,1927,|4287|
36.1623,-86.7743,1929,|4287|
36.1623,-86.7743,1929,|4287|
40.7127,-74.0060,1928,|9356|13334|
40.7127,-74.0060,1927,|13334|
35.7730,-86.2820,1929,|4287|
35.7730,-86.2820,1926,|4287|
35.7730,-86.2820,1927,|4287|
35.7730,-86.2820,1926,|4287|
35.7730,-86.2820,1928,|4287|
35.7730,-86.2820,1924,|4287|
51.3938,-0.3033,1928,|13334|
40.7127,-74.0060,1926,|9356|13334|
37.5726,-85.1551,1928,|4287|
37.5726,-85.1551,1928,|4287|
39.0132,-82.6089,1927,|13334|
40.8359,14.2488,1921,|12661|3933|
45.2965,-117.8080,1928,|2703|
59.9133,10.7390,1928,|13334|3933|
40.7127,-74.0060,1925,|13334|
40.7127,-74.0060,1929,|13334|
32.2999,-90.1830,1929,|2703|
44.0910,-73.5287,1921,|4087|12341|
39.1001,-94.5781,1926,|9356|
48.8535,2.3484,1927,|3478|13334|
29.9561,-90.0734,1924,|9356|
33.6248,-97.1428,1928,|13334|
23.1353,-82.3590,1928,|10141|15167|
41.4997,-81.6937,1929,|9356|
37.7672,-87.5574,1924,|9356|2703|
45.1927,-67.2760,1920,|13334|
55.3564,22.4052,1922,|13334|
39.9527,-75.1635,1922,|13334|
36.6723,-82.4026,1928,|7722|
39.1015,-84.5125,1922,|13334|
39.1015,-84.5125,1924,|9356|13334|
