release_mbid,artist_name,release_name,release_year,release_genres
035a7881-3e2c-39d2-b110-fe26a4de94e5,The Dave Brubeck Quartet,Time Out,1959,hard bop; cool jazz; jazz standard; jazz; bop
5dc7981a-c20f-361b-8365-ad677ba41b7a,Art Pepper,Art Pepper Meets the Rhythm Section,1957,instrumental jazz; jazz; bop
21902ea8-db41-342f-9a7e-2b6d51ec3abd,Louis Armstrong,An Evening With Louis Armstrong and His All Stars,1956,jazz; big band
fb054ed4-397f-3a19-9546-5bfa2f263715,Dizzy Gillespie,Dizzy Gillespie and His Big Band in Concert,1957,jazz
89ffea01-d71c-34c8-ac0c-9340f08e05ac,Lionel Hampton,Lionel Hampton and the Just Jazz All Stars,1955,jazz; swing
5b72e7bd-3273-3071-9d43-e04772468408,Dimitri Tiomkin,Friendly Persuasion: Original Music From the Soundtrack of the Motion Picture,1956,rock; pop
789020ec-3f9a-312a-883f-c91af1b25f38,James Moody,Moody's Mood for Love,1957,jazz
29cd2950-3d0f-3367-a2a7-25acf89ca2cf,Sarah Vaughan,Sarah Vaughan,1955,jazz; pop; vocal jazz
24103758-037a-3815-a1ff-3ea98edabdfc,Paul Clayton,Whaling and Sailing Songs (from The Days of Moby Dick),1956,sea shanty; folk
53a41b1c-9f5d-3873-a90a-16bdc50ca915,Muddy Waters,The Best of Muddy Waters,1958,chicago blues; blues
c570f813-d850-3cf2-9bb9-7f1f91735e76,Sonny Rollins,Work Time,1956,jazz; bop; hard bop
83e340a1-ba9b-3971-9737-f0cfdb6702bf,Clifford Brown,Memorial Album,1956,jazz; bop
b2323907-5527-3223-8c36-c85a8f923619,Jimmy Witherspoon,Feelin' the Spirit,1959,pop; blues; gospel
89896a3e-e309-3ed3-a1a9-36be29ae76b0,Miles Davis,Milestones,1958,pop/rock; modal music; post-bop; jazz instrument; hard bop; jazz; bop; trumpet jazz
0ff1aeea-396d-35f4-9356-66bbd19f7a7f,Portia Nelson,Let Me Love You,1956,easy listening; jazz; pop
4f5c1d90-cbec-3dc6-9e31-08689a7708f3,Sandy Wilson,Valmouth,1958,musical
b8bc6168-60b7-3356-b87a-1e09798baf76,Hugh Martin,Martin & Blane Sing Martin and Blane,1956,pop
639a022e-1757-39cb-8fe9-76f09f20ebf2,Kurt Weill,Tryout,1953,musical; classical
a87ef359-38d0-38af-94b5-bbb7908a481c,Stuff Smith,Stuff Smith,1957,jazz
1ec60084-32d2-3a63-9542-bea0372e5581,André Previn,André Previn Plays Fats Waller,1958,jazz; swing
d53c6d86-d3ae-3d86-b2e5-a7057e5bd4f4,Alan Lomax,Negro Prison Songs From The Mississippi State Penitentiary,1958,field recording; country; interview; folk; world; non-music; blues; spoken word
16696277-f28c-3333-8c15-455a3e1fb898,Billie Holiday,Songs for Distingué Lovers,1958,jazz; vocal; swing
9fba08cb-a667-349f-9996-b6c458958efb,Peggy Lee,Black Coffee With Peggy Lee,1953,jazz; oldies; vocal jazz
159b56e3-da50-3e72-818a-c6ce085d1f51,Mae Barnes,Mae Barnes,1959,jazz
8f3c138e-3afe-3e3c-9e51-aac6e49c2d71,Clyde McPhatter,Clyde McPhatter with Billy Ward and His Dominoes,1957,rock; pop
8e8a594f-2175-38c7-a871-abb68ec363e7,Miles Davis,Kind of Blue,1959,discogs/the most popular album released every year from 1950 to 2020; modal jazz; modal music; post-bop; jazz instrument; hard bop; modal; cool jazz; jazz; trumpet jazz
fbf1b2e6-257b-350d-b738-d61e73259409,Jackie McLean,"4, 5 and 6",1956,jazz; hard bop
d215f81c-8957-3a84-86c0-a0669d8cea1f,The Dave Brubeck Quartet,Jazz at Oberlin,1953,jazz
289c8848-1148-3869-96a5-6fdbc0555680,The Dave Brubeck Quartet,Jazz at the College of the Pacific,1954,jazz
26fbe319-0825-3818-9177-d93b9d99c775,Thelonious Monk,Thelonious Alone in San Francisco,1959,jazz
c76507a1-6c60-31a6-b929-2f281a688547,Kenny Burrell,Kenny Burrell,1957,jazz
2915af88-bf22-3f22-a49b-dd387f998129,Chet Baker,Chet Baker in New York,1958,jazz
8f1cd49a-be3b-3d7f-8736-59dcc76711c0,Ray Conniff,Concert in Rhythm,1958,easy listening
145b0ed7-9bed-3681-9f8c-46672c115a47,Blossom Dearie,Once Upon a Summertime,1959,vocal jazz; vocal
