release_mbid,artist_name,release_name,release_year,release_genres
d92ccba9-f9e5-3f10-a7be-28b0a00b2da0,Lucille Hegamin,I’ve Got What It Takes but It Breaks My Heart to Give It Away / Can’t Get Lovin’ Blues,1922,jazz; blues
0b757289-6809-3bd9-ad98-228393890263,Al Jolson,Give Me My Mammy / My Mammy Knows (How to Cheer and Comfort Me),1922,pop
ce98767f-29a9-3e47-b75b-3c1721248dbf,Bix Beiderbecke,Coquette / There Ain’t No Sweet Man That’s Worth the Salt of My Tears,1928,jazz; pop
44f013e2-5bee-3318-9c14-30f897b43e39,George Olsen and His Music,Thinking of You / When I First Met Mary,1926,jazz; pop
f09810d3-0bc9-309b-8e8d-198dd291a6ac,Alger “Texas” Alexander,Blue Devil Blues / Penitentiary Moan Blues,1928,blues
5c35e4be-a206-3de9-8e13-ede0cf7197ce,Alger “Texas” Alexander,Corn‐Bread Blues / Long Lonesome Day Blues,1927,texas blues; blues
eca5ab84-1de6-3d04-b030-a9d49955a67c,Gene Austin,The Lonesome Road / Wake Nicodemus,1928,jazz
a7a48a88-d042-3975-a066-37ccaa1a4501,Alger “Texas” Alexander,Awful Moaning Blues,1929,country blues; blues
85de5dfc-f46d-3041-a7b7-14cfe70e4ea2,Alger “Texas” Alexander,Tell Me Woman Blues / The Risin’ Sun,1928,texas blues; blues
72e052c2-7ead-3ee7-931e-a1b747292781,Buster Bailey,Papa De Da Da / Squeeze Me,1925,jazz
ab1be06d-4aae-34e7-b861-303fa4723b77,Louis Armstrong and His Hot Five,No Papa No / Basin Street Blues,1928,jazz; blues
b867f334-dcbe-36e3-b8fb-3c6a4c67cef0,Leroy Carr,My Own Lonesome Blues / How Long ‐ How Long Blues,1928,blues
ddfc0136-51ba-461d-8848-819beec9a997,Fats Waller,Ain't Misbehavin' / Sweet Savannah Sue,1929,jazz
e2b5deef-2c25-4457-b702-71407aaf7a0b,Frankie Trumbauer,Wringin' an' Twistin' / In a Mist,1927,jazz; dixieland; blues
a5a88975-f01e-4a3f-8b47-bbe591fb7e6b,Willy Derby,Drankduivel / Leer me vergeten,1920,schlager; pop
9103a642-278d-4bd4-a958-ae4f5e2d289a,Willy Derby,Drink en vergeet / Gevangenis zuchten,1921,pop
77e24fd7-8c0d-4b8d-be22-32297768ef83,Cow Cow Davenport,Cow Cow Blues / State Street Jive,1928,blues
e9fef2e5-11ed-45fa-ae58-624dd1d5f418,Joe Hayman,Cohen ’Phones His Son at College / Cohen at the Fights,1923,comedy; non-music
2d1a255e-b848-4fff-a6a8-37a02cd7cda5,Пётр Ильич Чайковский,Marche slave,1926,classical
0f41fa16-bdf0-4ce7-8247-9e09eb46d6ea,Blind Willie Johnson,Mother’s Children Have a Hard Time / If I Had My Way I’d Tear the Building Down,1928,blues
b0dc625b-31de-47f3-91ec-446cf6b416fc,Eddie Cantor,"O, Gee, Georgie! / If You Do What You Do",1924,musical; pop; comedy
23de1cf1-8888-45df-82b6-8f3d559f6b97,Billy Jones,Whose Izzy Is He / I No Speak-A Good English,1924,pop; comedy
f211807a-d150-4bf2-a31b-ed3c42add929,Victor Herbert,Medleys From Hebert Operas (Brunswick Concert Orchestra),1928,instrumental; classical
780472b2-87ef-48e8-bae6-c054db30c5af,Charles Gounod,Faust: Ballet Music,1923,classical
5d6f959a-af0a-4ff3-a5b8-a32e82352696,Carl Maria von Weber,Freischütz: Overture,1925,classical
2aaacb52-511a-4dae-8f81-cd48f10e9261,Esther Bigeou,Aggravatin' Papa (Don't You Try to Two-Time Me) / Mean Eyes,1923,jazz; blues
16063956-3422-4f4a-b16c-6bbcfdd24d40,Jimmy Blythe,Alley Rat / Sweet Papa,1928,blues
80acd376-b4d7-4ca6-b899-04f030b0003c,Tommy Johnson,Canned Heat Blues / Big Fat Mama Blues,1929,delta blues; blues
b9436a18-d288-42d8-893d-a448727ec4cd,Blind Willie Johnson,Dark Was the Night – Cold Was the Ground / It’s Nobody’s Fault but Mine,1928,blues
5bcffd34-d92a-4ddc-96af-99353253f875,Clarence “Pine Top” Smith,Pine Top Blues / Pine Top’s Boogie Woogie,1929,boogie-woogie; blues; piano blues
e53e31c9-dde2-40b6-991f-96e9152bfa61,Clara Smith,Shipwrecked Blues / My John Blues,1925,jazz
4f1c98b3-f8d6-4214-9ac5-5caa65d4c60d,Thomas A. Dorsey,Pat That Bread / Arkansas,1929,texas blues; blues
08829c93-8c69-4872-884e-053d34ff2fa5,Tampa Red,Corinne Corinna / Kunjine Baby,1929,blues
