release_mbid,artist_name,release_name,release_year,release_genres
d4dd4f15-4912-399a-adb3-ecb65e362ae3,Frank Churchill,Snow White and the Seven Dwarfs,1938,1–4 wochen; musical; english; offizielle charts; ost; soundtrack
2af80c30-94ee-3a50-b7b4-952ba12d9720,Robert Johnson,Stones in My Passway / I'm a Steady Rolling Man,1937,delta blues; blues
6ad27195-2a36-37b8-8fed-8678977a56ba,Robert Johnson,Walking Blues / Sweet Home Chicago,1936,delta blues; blues
4d84fb90-dfc0-3c8b-ba6f-520122e686c9,Robert Johnson,Come On In My Kitchen / They’re Red Hot,1937,delta blues; blues
0c2ce5c7-e287-3bd7-9fa0-904e576b9289,Robert Johnson,32-20 Blues / Last Fair Deal Gone Down,1937,delta blues; blues
950a2b03-7752-3c0a-8ab6-962c654a8fea,Robert Johnson,I Believe I'll Dust My Broom / Dead Shrimp Blues,1937,delta blues; blues
fdfd1a76-900f-3501-b483-9fdf4cc47de0,Robert Johnson,Kind Hearted Woman / Terraplane Blues,1936,delta blues; blues; country blues
9a016459-9f1f-367a-bd7f-a8d6eeed18d9,Robert Johnson,Little Queen of Spades / Me and the Devil Blues,1937,delta blues; blues; country blues
795e73d4-27c2-3534-b46a-6de16ca87112,Robert Johnson,Hellhound on My Trail / From Four Till Late,1937,delta blues; blues
2e8aa0f5-11f1-3f09-97be-272e4cf9336c,Robert Johnson,Cross Road Blues / Rambling on My Mind,1936,delta blues; blues
0b4d7a73-2d74-3d82-b911-092efbdce5f8,Judy Garland,Over the Rainbow,1939,musical
21339daa-f558-3b60-9462-869402bb02a0,Billie Holiday,Strange Fruit / Fine and Mellow,1939,jazz; pop; swing
bdec9aa2-d55b-3dd6-823b-17ac7571506b,Bob Wills and His Texas Playboys,Steel Guitar Rag / Swing Blues No. 1,1936,country; swing; jazz; blues
1662c75a-6f6d-3968-8091-19ea7d8620eb,Lale Andersen,Lied eines jungen Wachtpostens (Lili Marleen),1939,pop
361d4efe-4b40-31f4-8248-9da63658d53b,Al Bowlly,The Very Thought of You / Little Dutch Mill,1934,schlager; pop
df7bbaab-3372-30b4-9360-f50ef0b2531b,Jack Teagarden,Dr. Heckle and Mr. Jibe / Texas Tea Party,1933,jazz; big band; swing
0d04a9af-0072-3cbe-9758-ff73c6ee1cd5,Jimmie Rodgers,"Rock All Our Babies to Sleep / Mother, the Queen of My Heart",1932,country
4728fc77-405c-309f-b33d-3db9208adf2e,Carlos Gardel,El día que me quieras / Volvió una noche,1935,latin; tango
a7c1e589-71c1-3982-860c-a8ae7b8c360b,Frank Sinatra,All or Nothing at All / Flash,1939,dance
5edd9c2b-06b9-3663-a3dd-6a598e05b1f2,Bing Crosby,It’s Easy to Remember / Swanee River,1935,pop
114353de-c169-310d-8fdb-8821b0620700,Bing Crosby,Sweet Leilani / Blue Hawaii,1937,pop
7ca66786-8f97-3c93-a47c-54ff1eae6b07,Alger “Texas” Alexander,Justice Blues / Easy Rider Blues,1934,electric blues
3599ed57-dcc1-356a-aafd-eb5167249258,Bob Wills and His Texas Playboys,San Antonio Rose / The Convict and the Rose,1939,western swing
29b12f6e-2bc2-3147-b2ff-950927f5c419,Ray Noble and His Orchestra,The Moment I Saw You / There's Something About a Soldier,1933,pop
d1564809-59bb-3e73-a343-ba123bc30cc9,Fred Astaire,A Foggy Day / I Can't Be Bothered Now,1937,jazz; pop
