release_mbid,artist_name,release_name,release_year,release_genres
ffc277ff-e298-320c-bc65-e8091b2b7310,Sweet Smoke,Just a Poke,1970,american; américain; progressive rock; psychedelic rock; 1970; usa
d54d50cd-b89a-3aee-8505-854a0b8f1c0b,Reinhard Mey,Ikarus,1975,rock; ballad; pop; folk rock
65ebadae-3fcc-32c2-a161-a2cd53854c9b,Heart,Dreamboat Annie,1975,hard rock; rock; folk rock; album rock; aor; pop rock; classic rock
4a4213d0-f224-3d51-bcca-476f61162681,The Rolling Stones,Sticky Fingers,1971,passionate; rock & roll; energetic; country rock; raw; sexual; rock and roll; roots rock; male vocalist; blues; album rock; hedonistic; summer; hard rock; drugs; longing; rock; rebellious; blues rock
2c2b7b95-35bd-337e-9377-87f20500bbb3,Reinhard Mey,Menschenjunges,1977,rock; folk rock
deee6f92-2662-3095-8aea-6892b10b8265,The Doors,Morrison Hotel,1970,passionate; psychedelic rock; psychedelic; energetic; album rock; melodic; classic rock; rock; poetic; playful; acid rock; blues rock
2c3682e2-cc7b-32e0-ab48-d4dbbd458479,Cheap Trick,Cheap Trick at Budokan,1978,hard rock; power pop; rock; pop; pop rock
7be633bd-d1f6-3d89-8939-803ae0ed0de8,The Doors,L.A. Woman,1971,psychedelic rock; psychedelic; rock & roll; proto-punk; album rock; mysterious; classic rock; urban; hard rock; cryptic; pop/rock; dark; rock; poetic; contemporary pop/rock; acid rock and british blues; pop; acid rock; blues rock
7466fb61-4fe8-3edd-8a24-d303065136e5,Chris de Burgh,Spanish Train and Other Stories,1975,art rock; rock; pop; pop rock
cadad96f-6262-319c-a51e-7af402ec64e6,Ravi Shankar,In Concert 1972,1973,indian classical
15dc9ccf-e33b-3f4d-8c81-8346388d0b29,Iggy Pop,Lust for Life,1977,hard rock; rock; classic punk; punk rock
02cbb6b3-2464-3e71-b445-4646066fc94c,The Kentucky Colonels,Livin' in the Past,1975,bluegrass
78abbc39-4d15-33fd-857c-e5ed1af2a750,Doug Dillard,The Banjo Album,1970,bluegrass; rock; country rock
51b0ec77-5661-37c5-9490-7a93fa1e2f83,Toulouse Engelhardt,Toullusions,1975,folk; rock; blues; blues rock
48419041-6c07-31bf-a3bc-674952b78b34,The Kentucky Colonels,Live In L.A.,1978,bluegrass
42d725fb-a8b7-388c-8866-3b02789af326,Joni Mitchell,Blue,1971,folk; folk pop; singer-songwriter; pop; folk rock; contemporary folk
43424c73-fc58-36b0-b9cf-f8b057ac0603,Santana,Abraxas,1970,psychedelic rock; psychedelic; blues-rock; rock & roll; rock/pop; latin rock; funk soul; album rock; classic rock; hard rock; rock; fusion; latin; rock music; santana; jazz-rock; blues rock
74846355-b8a3-35ed-a5ff-eff836b1a7a4,Jethro Tull,M.U. – The Best of Jethro Tull,1976,hard rock; progressive rock; art rock; rock; folk rock; classic rock; blues rock
