lat,lon,release_year,genre_ids
32.3528,-90.8777,1979,|9356|
33.1632,-96.3604,1975,|9356|
33.1632,-96.3604,1974,|9356|13605|16803|
38.6475,-83.7645,1978,|18480|9356|
35.6630,-95.3928,1977,|4239|9356|
33.1632,-96.3604,1978,|2814|16803|4239|10160|9356|
33.1632,-96.3604,1978,|9356|
41.8240,-71.4128,1978,|9356|16803|
42.3316,-83.0466,1979,|9356|
43.6535,-79.3839,1975,|8049|13848|14812|1094|3913|
33.6846,-86.8755,1978,|4287|8463|17681|
40.8467,-73.8786,1972,|4316|16063|916|13392|14812|6894|2701|1528|13334|15839|6642|13409|
40.7127,-74.0060,1978,|8855|14812|1719|13650|12150|13334|7196|13409|14016|
51.8911,-0.4230,1973,|13797|13848|14812|16846|6898|3913|2714|
51.5074,-0.1278,1979,|1286|1094|14016|14812|3902|1294|12150|13334|391|13409|
51.5969,-0.3770,1971,|424|13963|14938|16063|16846|12546|1094|916|2233|13848|6160|14812|13155|6898|15839|13409|
42.3588,-71.0578,1976,|8049|14812|1094|1671|1612|
34.1477,-118.1442,1978,|17714|595|18295|8214|1094|8049|15567|14812|4208|5911|1671|
37.9154,-122.3014,1973,|16769|14812|4321|14853|3913|
34.0537,-118.2428,1976,|16063|14812|4321|4208|13334|1094|3913|
40.7135,-73.8283,1975,|7613|8049|595|14812|7616|8214|3913|1094|
37.9154,-122.3014,1972,|14812|4321|14853|3913|
42.0129,-73.9082,1977,|9392|14812|9371|18999|13334|9419|13409|
53.4954,-2.9739,1970,|6917|6151|14707|2703|2329|11068|3913|11169|2558|18586|14812|13334|13409|2714|
51.8996,-2.0712,1975,|14814|14812|7616|14853|7612|15760|6721|3913|16244|
51.2254,6.7763,1978,|16878|12546|560|5079|9999|11341|13334|5911|16893|5863|
33.9598,-83.3764,1979,|595|1286|1326|1239|13487|14040|14812|4664|1294|13650|12150|13334|4059|391|13409|
40.6023,-75.4716,1978,|9356|
17.9712,-76.7928,1978,|15109|14504|
52.8652,-7.9795,1975,|3384|6873|
52.5174,13.3951,1976,|13848|14812|13820|2423|1379|6423|5911|
51.5969,-0.3770,1974,|14814|14938|16063|7616|2414|1094|3913|16211|916|14812|4208|13334|15839|13409|
51.5969,-0.3770,1970,|14938|16063|2703|1094|916|13487|14812|13155|13390|13334|15839|13409|
52.5174,13.3951,1975,|13820|2423|1379|6423|5911|
52.5174,13.3951,1979,|6873|2097|13334|2703|
48.8990,2.0943,1978,|8742|3933|
51.4622,0.1123,1978,|2097|16480|2233|13487|1720|14812|1294|13334|13837|1717|13409|
51.8401,-0.0979,1973,|8049|13848|14812|3913|
40.5765,-73.9929,1977,|4287|6873|14812|18902|12600|6898|
52.5174,13.3951,1971,|13334|6873|2097|
52.3745,9.7386,1979,|11174|8049|1094|13487|14812|8214|9999|
40.6526,-73.9497,1970,|1418|1465|13848|13963|380|18250|
52.5174,13.3951,1975,|14812|2097|13334|6898|
47.6038,-122.3301,1975,|8049|14812|6898|1094|1612|13409|3913|
51.5074,-0.1278,1971,|12973|14814|6151|4321|14408|15652|14853|15113|10818|2703|1094|8239|16686|8049|5528|10552|14812|14450|2714|
52.5174,13.3951,1977,|14812|6898|
33.9950,-118.4669,1970,|12973|13963|13950|6151|1094|11068|3913|14812|13264|13243|827|2714|
42.2714,-89.0940,1978,|8049|13700|14812|13334|13409|
33.9950,-118.4669,1971,|13963|13950|14814|13918|1094|11836|3913|18208|8049|4467|13487|4730|14812|13264|4208|828|13334|827|2714|
-33.7457,-61.9691,1975,|1720|14812|13334|13409|
27.1303,80.8597,1973,|8798|
43.2342,-86.2484,1977,|8049|14812|3910|14031|
34.0537,-118.2428,1975,|2698|
38.6269,-90.1597,1970,|2698|14812|4321|
43.0386,-87.9091,1975,|6873|14812|2703|2714|
34.0537,-118.2428,1978,|2698|
49.7267,-113.4076,1971,|6873|6894|15834|13334|6898|4198|
37.7879,-122.4075,1970,|13963|13950|2720|14814|14938|10167|7197|1094|3913|8049|14812|7219|10141|14891|15386|9419|2714|
51.8911,-0.4230,1976,|8049|13848|1720|14812|6898|3913|2714|
39.6828,-75.7516,1977,|14814|11454|2783|2703|1094|14706|2714|
53.3853,-1.5082,1977,|14812|16063|2697|2714|
39.3625,22.9402,1979,|5911|2423|1379|
31.5492,-97.1475,1979,|4087|
51.5706,-0.1492,1979,|14814|16063|2097|14853|1352|1094|3913|916|8049|13487|14812|4208|13334|5911|13409|
34.0537,-118.2428,1972,|2233|15410|14812|13155|13334|3127|15839|13409|
31.5492,-97.1475,1978,|4087|12341|
-22.9110,-43.2094,1971,|2816|11619|10141|
51.8911,-0.4230,1978,|8049|13848|1720|14812|13882|6898|3913|2714|
51.5074,-0.1278,1975,|13797|13963|4141|9356|13806|11051|13848|1720|10552|14812|6453|1379|8389|5911|16335|
31.2578,-95.9785,1972,|17182|2703|
51.1103,-0.1801,1979,|14812|3902|1294|13650|12150|13395|
49.8955,-97.1385,1971,|8049|13963|14938|14812|7349|13409|2714|
40.6023,-75.4716,1973,|9356|
-33.8698,151.2083,1979,|8049|1864|14812|1094|1671|2714|
37.7879,-122.4075,1977,|10167|2703|
39.0490,-95.6776,1978,|8049|13848|14812|16843|1671|
37.6922,-97.3375,1973,|8049|14812|2714|
48.8535,2.3484,1971,|2233|14812|16846|7123|13334|1717|13409|
29.8717,-93.9332,1972,|8049|2720|2733|13487|14814|14812|3917|12600|2703|1094|2714|
41.5063,-87.6357,1979,|9356|
40.7135,-73.8283,1974,|14812|13334|6898|13409|
32.8457,-90.4146,1973,|14381|16154|7185|
40.7135,-73.8283,1975,|13409|
32.8457,-90.4146,1972,|14381|16154|
35.2272,-80.8431,1974,|7722|
32.7763,-96.7969,1972,|16154|
51.5969,-0.3770,1975,|424|10193|14814|14938|16063|12546|1094|3913|13487|6160|14812|4208|13334|15839|13409|
29.9561,-90.0734,1974,|2703|17182|5849|
51.5074,-0.1278,1973,|13797|13848|1720|14812|
37.7879,-122.4075,1973,|8049|13487|14812|8214|1671|3913|1094|
37.4443,-122.1598,1970,|2698|13963|14812|4321|6898|1094|3913|
31.9610,-90.9840,1973,|4993|2703|
