lat,lon,release_year,genre_ids
44.4614,9.8159,1906,|12661|3933|
48.8535,2.3484,1906,|12661|3933|
37.1232,-78.4928,1909,|4087|12341|
37.1232,-78.4928,1909,|4087|12341|
39.9527,-75.1635,1907,|13334|
39.9527,-75.1635,1903,|9356|14248|
39.9527,-75.1635,1908,|13334|
39.9527,-75.1635,1905,|13334|
39.9527,-75.1635,1904,|13334|
39.9527,-75.1635,1907,|13334|
39.9527,-75.1635,1904,|13334|
39.9527,-75.1635,1906,|13334|
39.9527,-75.1635,1908,|9356|14248|
39.9527,-75.1635,1905,|13334|
39.9527,-75.1635,1907,|13334|
39.9527,-75.1635,1906,|13334|
39.9527,-75.1635,1908,|13334|
53.8612,-2.5651,1906,|13334|
39.9527,-75.1635,1906,|13334|
53.8612,-2.5651,1906,|13334|
53.8612,-2.5651,1908,|13334|
39.9527,-75.1635,1904,|9356|14248|
53.8612,-2.5651,1905,|13334|
39.9527,-75.1635,1905,|13334|
39.9527,-75.1635,1907,|9356|14248|
53.8612,-2.5651,1907,|13334|
39.9527,-75.1635,1904,|9356|14248|
43.1562,-75.8450,1906,|13334|
43.1562,-75.8450,1903,|13334|
40.7642,-74.2150,1909,|13334|
40.7642,-74.2150,1906,|13334|
39.9527,-75.1635,1909,|13334|
39.9527,-75.1635,1903,|13334|
37.1232,-78.4928,1909,|4087|12341|
53.8612,-2.5651,1907,|4087|12341|13334|18332|
53.8612,-2.5651,1909,|13334|
38.8938,-76.9880,1907,|16439|12341|
53.8612,-2.5651,1909,|13334|
38.2731,-98.5822,1904,|13334|
38.8938,-76.9880,1908,|13334|18332|12341|
53.8612,-2.5651,1906,|18332|13334|
38.8938,-76.9880,1902,|6873|4087|12341|
53.8612,-2.5651,1905,|18332|13334|
53.8612,-2.5651,1908,|13334|
53.8612,-2.5651,1907,|13334|
39.9527,-75.1635,1902,|13334|
39.9527,-75.1635,1903,|13334|
38.2731,-98.5822,1905,|13334|
38.2731,-98.5822,1907,|13334|
38.2731,-98.5822,1904,|13334|
38.2731,-98.5822,1904,|13334|4087|12341|
38.2731,-98.5822,1906,|13334|
38.2731,-98.5822,1905,|13334|
38.2731,-98.5822,1902,|13334|
42.2529,-73.7910,1906,|9356|14248|
38.2731,-98.5822,1906,|13334|
38.2731,-98.5822,1907,|13334|
38.2731,-98.5822,1908,|13334|
38.2731,-98.5822,1902,|13334|
42.2529,-73.7910,1905,|9356|14248|
38.2731,-98.5822,1904,|13334|
38.2731,-98.5822,1907,|13334|
38.2731,-98.5822,1908,|13334|
39.9527,-75.1635,1906,|13334|
39.1015,-84.5125,1906,|13334|
39.1015,-84.5125,1906,|13334|
39.1015,-84.5125,1907,|13334|
39.9527,-75.1635,1906,|13334|
39.1015,-84.5125,1906,|13334|
39.9527,-75.1635,1908,|13334|
39.1015,-84.5125,1905,|13334|
39.9527,-75.1635,1907,|13334|
39.1015,-84.5125,1906,|13334|
39.9527,-75.1635,1905,|13334|
39.9527,-75.1635,1906,|13334|
42.2529,-73.7910,1901,|9356|14248|
42.2529,-73.7910,1906,|9356|14248|
52.2928,-3.7389,1907,|13334|
31.2639,-98.5456,1903,|14248|
42.2529,-73.7910,1904,|9356|
38.2731,-98.5822,1902,|13334|
42.2529,-73.7910,1902,|9356|14248|
42.2529,-73.7910,1907,|9356|14248|
42.2529,-73.7910,1908,|13334|
53.7624,-0.3301,1902,|6873|
57.1482,-2.0928,1909,|6873|
42.2529,-73.7910,1909,|13334|
38.2731,-98.5822,1908,|13334|
53.7624,-0.3301,1908,|6873|
53.7624,-0.3301,1908,|6873|
39.9527,-75.1635,1909,|13334|
50.6580,30.1766,1905,|12661|3933|
51.6777,35.6065,1909,|6873|
45.4077,11.8734,1902,|12661|3933|
50.8345,-0.2383,1908,|12661|3933|
50.1481,35.1810,1906,|3933|
40.6526,-73.9497,1909,|13334|
53.8612,-2.5651,1908,|13334|
48.8535,2.3484,1907,|13334|3127|
40.7127,-74.0060,1906,|13273|4087|12341|18332|
